year,name,engine_size,mileage(km),price(eur),link
2012,Ford Fiesta,1.2 Petrol,101436,7300,https://www.donedeal.ie/cars-for-sale/ford-fiesta-low-miles-1-25-zetec-82ps-5dr-argento/40796866
2014,Ford Fiesta,1.0 Petrol,164992,7995,https://www.donedeal.ie/cars-for-sale/2014-ford-fiesta-1-0p-titanium-125hp/40777195
2014,Ford Fiesta,1.0 Petrol,144840,7295,https://www.donedeal.ie/cars-for-sale/2014-ford-fiesta-1-0p-titanium-x/40777108
2012,Ford Fiesta,1.4 Diesel,147000,6950,https://www.donedeal.ie/cars-for-sale/ford-fiesta-2012-low-kms/39368144
2014,Ford Fiesta,1.2 Petrol,180164,7950,https://www.donedeal.ie/cars-for-sale/ford-fiesta-zetec/38420219
2016,Ford Focus,1.5 Diesel,160755,,https://www.donedeal.ie/cars-for-sale/ford-focus-zetec-tdci/40810623
2018,Ford Focus,1.5 Diesel,164442,,https://www.donedeal.ie/cars-for-sale/ford-focus-zetec-edition-tdci/40810621
2016,Ford Focus,1.5 Diesel,114642,,https://www.donedeal.ie/cars-for-sale/ford-focus-1-5-tdci-zetec-120ps-5dr/40810500
2013,Ford Focus,1.0 Petrol,163982,7900,https://www.donedeal.ie/cars-for-sale/ford-focus-1-0-ecoboost-zetec-125ps-5dr/40761387
2012,Ford Focus,1.0 Petrol,164464,7300,https://www.donedeal.ie/cars-for-sale/ford-focus-1-0-titanium-ecoboost-12-125ps-5dr/40035205
2017,Ford Focus,1.5 Diesel,131544,,https://www.donedeal.ie/cars-for-sale/ford-focus-titanium-tdci/40774808
2019,Ford Focus,1.5 Diesel,151012,,https://www.donedeal.ie/cars-for-sale/ford-focus-titanium-tdci/40751667
2018,Ford Focus,1.5 Diesel,108165,16900,https://www.donedeal.ie/cars-for-sale/ford-focus-low-miles-st-line-1-5-td-120ps-6speed-4/40532048
2017,Ford Focus,1.5 Diesel,138977,,https://www.donedeal.ie/cars-for-sale/ford-focus-titanium-tdci/40644265
